UID,title,speakers,presentation_id
5000,Introduction,Hinrich Schütze,38929532
5001,Reviewing at EMNLP 2020,"Joyce Chai, Natalie Schluter, Joel Tetreault",38929533
5002,Reviewing at EMNLP 2020,"Trevor Cohn, Yulan He, Yang Liu",38929534
5003,COI & Short Term Proposal,Amanda Stent,38929535
5004,Rolling Review Model,Graham Neubig,38929536
